SubjectID,problems_attempted,total_attempts,total_solved,completion_rate,avg_attempts,std_attempts,max_retries,min_attempts,proportion_reattempts,success_rate,first_attempt_success_rate,avg_score,std_score,compile_error_rate,active_days,avg_events_per_day,total_events,X-Grade,Cluster
098d08de95d38eeec0842ad11e1e98d03c5afff456588f8ec0e9b2842aae39a3,21,83,16,0.762,3.952380952380953,2.65,10,1,0.747,0.762,0.238,0.482,0.427,0.338,66,5.55,366,86.16,0
09db7ba4c23b61069909ed92ec0cb34ff8e34868badc0a1a6bfdf336ce989511,29,56,29,1.0,1.9310344827586208,1.69,9,1,0.482,1.0,0.552,0.722,0.411,0.226,28,5.5,154,18.75,2
0abe1b008e37697d60391129deac748704d6105881949c60dff38453777ffb43,22,54,20,0.909,2.4545454545454546,1.99,8,1,0.593,0.909,0.455,0.569,0.437,0.329,42,4.43,186,74.16,2
0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,30,315,30,1.0,10.5,10.81,44,1,0.905,1.0,0.1,0.376,0.384,0.344,65,18.69,1215,84.98,3
0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,30,410,30,1.0,13.666666666666666,16.96,79,1,0.927,1.0,0.1,0.382,0.374,0.332,64,34.11,2183,39.56,3
0d38364f7e61ffa23af02082de12cb8c5786cddea6f83ae2156aa0cb41ec5509,30,82,30,1.0,2.7333333333333334,2.86,12,1,0.634,1.0,0.533,0.562,0.473,0.39,64,4.95,317,53.75,2
0d4ffc8959a9277ed564ffa0be4fa178fc778a551acea42c7b477a06545e5764,30,140,30,1.0,4.666666666666667,6.29,29,1,0.786,1.0,0.367,0.381,0.437,0.498,66,11.36,750,79.48,1
0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,30,118,28,0.933,3.933333333333333,4.23,17,1,0.746,0.933,0.333,0.381,0.405,0.303,63,9.94,626,83.25,1
109c6e9ad83923fec425f5948621a620bad8efb25d507dbead8bcfa627bc55e6,30,112,30,1.0,3.733333333333333,2.96,12,1,0.732,1.0,0.233,0.451,0.433,0.34,62,9.4,583,93.25,1
10e19a731f11c88176364d6ac435b630c522b5acbb234bb07adccf8efd540b9c,29,196,21,0.724,6.758620689655173,6.52,26,1,0.852,0.724,0.172,0.31,0.364,0.442,68,14.4,979,91.0,0
117a01c81c6ec62f7b6d2b97ea41f349a1f2b57f713e3065c1576abab742ea46,30,360,24,0.8,12.0,11.11,36,1,0.917,0.8,0.067,0.372,0.362,0.274,70,20.41,1429,45.91,3
11d2c55502f841ac3d2c5c9d23348319d368e166d76af06498da4c4bd5ef7e83,30,160,30,1.0,5.333333333333333,3.92,14,1,0.812,1.0,0.133,0.375,0.392,0.401,65,14.35,933,78.7,1
120c591b0e4c359e86472f0277aba65125a0e102b24630520b7670b9b7b1d9a5,30,138,27,0.9,4.6,4.38,16,1,0.783,0.9,0.333,0.38,0.421,0.412,69,8.3,573,83.17,1
125ae2e6409e498cf96017e4f7168a1612ea2f181a0ea99530cfafb7b3a64807,30,306,30,1.0,10.2,11.25,43,1,0.902,1.0,0.1,0.282,0.377,0.479,67,20.4,1367,89.91,3
1274deb6dd5637d775d619b4b2449b40dd2179007cb88f0e36b1ccf91f18dd6e,30,33,30,1.0,1.1,0.4,3,1,0.091,1.0,0.933,0.888,0.318,0.111,64,1.5,96,65.26,2
138c4c9a5ae1f9ffc53e24e3083b2514b5d9aa6b12467d60b62c8929816e189f,30,288,30,1.0,9.6,9.04,41,1,0.896,1.0,0.067,0.311,0.39,0.512,68,20.15,1370,82.51,3
13b34a353ac9ea6554f0bfc998b55f394ed800dfc03b32dc37d311d2551a5749,30,144,30,1.0,4.8,5.18,23,1,0.792,1.0,0.3,0.404,0.458,0.531,62,7.95,493,70.71,1
1403518ce5c6beb4b9b3ce77105c7fe32cd2520aed96f2124f56858098693244,30,119,30,1.0,3.966666666666667,4.27,16,1,0.748,1.0,0.4,0.484,0.435,0.329,67,6.22,417,47.75,1
14540c305603b931be46726208aae2f2bdde7974a4bab9ca6cbb345b571c959c,29,147,24,0.828,5.068965517241379,5.18,18,1,0.803,0.828,0.276,0.372,0.422,0.48,70,8.81,617,68.84,1
155464e7a35faffd6b3b4f2e6b757098204e8a24221641b58ee8156acfd2e1fc,30,94,30,1.0,3.1333333333333333,3.12,16,1,0.681,1.0,0.433,0.549,0.461,0.357,63,5.13,323,77.78,1
15c5366a784c8d6598742c335e8b43b08f1942248cfd1c1ca6dd8bca414aac97,30,132,30,1.0,4.4,7.53,41,1,0.773,1.0,0.467,0.459,0.425,0.407,67,8.63,578,74.91,1
15e7a100916541060e16055751255f31e525b2bc2efcedc3081955d8aa18193b,30,98,28,0.933,3.2666666666666666,2.52,10,1,0.694,0.933,0.2,0.518,0.426,0.293,42,7.17,301,85.66,1
164d9a5499b7224c7fcbed2f0b76c8041bd544beb86187837dbc3837a78506ea,30,180,29,0.967,6.0,6.09,27,1,0.833,0.967,0.2,0.466,0.41,0.283,62,11.97,742,71.71,1
166572dff8d5aedada06bc75f068301e14a3c203b9fd850bf4606292acd135f5,28,100,25,0.893,3.571428571428572,2.85,13,1,0.72,0.893,0.179,0.447,0.444,0.418,70,7.46,522,86.84,1
16d4c5bf7eb5f6e804de07bd9f16ac0c6242adaecf20fa778a69734dd8e8aba8,30,219,30,1.0,7.3,4.74,20,2,0.863,1.0,0.0,0.305,0.396,0.484,66,14.79,976,52.31,1
16f38c9409d1652e79f9e6bc1b17605416787f67c1a5822c984a63c21eabd743,30,79,19,0.633,2.6333333333333333,2.13,12,1,0.62,0.633,0.333,0.574,0.429,0.316,64,4.2,269,52.71,0
17111411f938d9a2cc954eeaa5a6f8d675929b11c07168f5d59a4e58fc140b48,30,314,20,0.667,10.466666666666669,12.29,48,1,0.904,0.667,0.267,0.266,0.357,0.508,63,22.22,1400,87.66,3
171bb8faae3a5b2d210aaf5d57da0ea8dee2d4d05d6760d33aac71861d9a1cc2,30,231,30,1.0,7.7,11.72,65,1,0.87,1.0,0.167,0.343,0.371,0.405,66,15.5,1023,79.0,3
18cff3f609168fc4bf5e7df1869409cb4026387a8530d8bc522fdeba67576fb6,30,408,27,0.9,13.6,19.83,99,1,0.926,0.9,0.1,0.203,0.347,0.555,66,26.88,1774,72.67,3
19700138aba73d2a48b106fe7c2d72ed0b8f228906e7f41e266664a91b451a54,30,149,30,1.0,4.966666666666667,5.29,22,1,0.799,1.0,0.233,0.429,0.43,0.38,65,8.75,569,88.91,1
19b3277cda3fe10ec63ecd0517453b399e386ea3a475c891f3a2e7b55c246fba,20,40,20,1.0,2.0,2.1,9,1,0.5,1.0,0.7,0.499,0.475,0.422,62,4.15,257,49.03,2
1a0e91f519c0393d7d327f110988b2358b5fb944149f79840d417a0d279a7033,30,146,24,0.8,4.866666666666666,3.79,15,1,0.795,0.8,0.133,0.389,0.412,0.396,65,8.72,567,71.57,1
1c74dd0c87312999b28efb7af3aed752614eb8cc7e8fa5523e4f4441aaf4f64a,30,73,30,1.0,2.433333333333333,3.19,16,1,0.589,1.0,0.567,0.571,0.434,0.281,65,4.38,285,77.56,2
1e07cd29e230f3661645dcb909fda7759b80e0adf98716a5b82e22aa93a8223c,30,62,30,1.0,2.066666666666667,5.28,30,1,0.516,1.0,0.867,0.485,0.502,0.515,66,6.24,412,30.75,2
1ec64cfe094fceca729f1241b83dde22ed39131b6494448919af8cb2308cc0f3,19,61,12,0.632,3.210526315789474,3.24,12,1,0.689,0.632,0.474,0.422,0.48,0.545,69,6.16,425,48.44,0
1f0e4c406443bc8a01467fd0f5b45a0aa4e95fded6b2c5d85ac532727bfd3c6d,30,56,30,1.0,1.8666666666666667,1.43,5,1,0.464,1.0,0.633,0.624,0.481,0.368,66,4.21,278,61.06,2
1fa47ac7759a6ce7a6345af6515630bf1b0493c63c56c65ec1867dd8e850486c,29,105,27,0.931,3.6206896551724137,3.95,19,1,0.724,0.931,0.414,0.496,0.439,0.31,65,5.94,386,81.41,1
1ff64286fcc902f2048b851d7b5ee3bbb7715d1802021574aaf5dfef71b68ae6,30,263,30,1.0,8.766666666666667,11.81,48,1,0.886,1.0,0.167,0.323,0.378,0.386,61,21.21,1294,75.89,3
20300013d055d63c747accf06b9f7c94f8d736c3d5c89fe52b71857de90ecaaf,30,302,30,1.0,10.066666666666666,10.42,45,1,0.901,1.0,0.133,0.321,0.395,0.499,70,17.73,1241,46.25,3
2086b883938e4bc640227dc92935bcb8862c2fe6523a4cf6f5996fb761530d0b,30,193,27,0.9,6.433333333333334,6.92,37,1,0.845,0.9,0.1,0.345,0.422,0.496,62,14.27,885,40.06,1
2092db8fa7b1c7c1facd32157dc0deaddf316e12f67d5f4eddfb2135663c8ed4,20,89,20,1.0,4.45,4.51,20,1,0.775,1.0,0.2,0.401,0.481,0.568,69,7.71,532,43.5,1
2111bfba5699b3c98ce0857b7c6addbb85365d9d0e0ee156d5e6431ff5f5138e,30,233,28,0.933,7.766666666666667,9.44,34,1,0.871,0.933,0.2,0.378,0.382,0.348,68,12.06,820,49.5,1
21b2a371c603c1881c816d27fa28fb5d05088aa770b7fdc4d5a04492d93612c0,30,183,28,0.933,6.1,7.65,33,1,0.836,0.933,0.167,0.381,0.422,0.449,68,10.84,737,94.41,1
21f4a3d24142021f5ac9990df481128a358c88afbe0e65bed2714e0d8ba741b7,30,148,30,1.0,4.933333333333334,5.17,20,1,0.797,1.0,0.233,0.453,0.431,0.351,68,8.16,555,52.44,1
22d436278c2d2678362e2b3102b5bfa9227eecad30f599801b730e0cc7acd1c6,29,201,24,0.828,6.931034482758621,8.92,38,1,0.856,0.828,0.241,0.408,0.386,0.293,65,12.18,792,67.1,1
23d73ca299f02110f10fe0b18902fd2ea5ad124d3a061f110083353b3899c369,30,149,30,1.0,4.966666666666667,5.32,23,1,0.799,1.0,0.333,0.401,0.411,0.333,66,10.17,671,89.25,1
23e416c6f9deb987ac8f8f136e8551133ba63c734122e2f82eaeec72b03bad9e,30,278,26,0.867,9.266666666666667,10.58,42,1,0.892,0.867,0.1,0.326,0.384,0.395,63,16.35,1030,65.54,3
2464d583948e7369200abe0db2a33c62a383e9915104e6869b17f8f89244de0d,30,152,20,0.667,5.066666666666666,3.45,14,1,0.803,0.667,0.1,0.366,0.369,0.303,69,7.8,538,67.18,0
24dcd2add1dae7e58c63cdb26cee768e08c609bab1b2e74f9872a8b1ecf5a87c,30,38,30,1.0,1.2666666666666666,0.83,5,1,0.211,1.0,0.867,0.841,0.356,0.103,65,2.66,173,61.69,2
24ee79621dbf0eed211a4c01075637ff475e766822d52105aed6ef92d5ae81e7,30,289,29,0.967,9.633333333333333,10.99,47,1,0.896,0.967,0.133,0.319,0.392,0.407,69,12.87,888,67.75,3
257bcb82ac5a481a11654e40bf2a244aae7d108fd7b43545c8023b1289ffc718,30,106,30,1.0,3.533333333333333,3.22,12,1,0.717,1.0,0.167,0.532,0.439,0.329,66,7.95,525,94.0,1
269ff40c212993b357d07bfcee0ee3ef1b9c246c8088f739fc5d692625d0536b,30,255,30,1.0,8.5,11.77,61,1,0.882,1.0,0.067,0.43,0.398,0.314,64,13.3,851,61.09,3
275839578ec60b5084d5e18fccb01310e9f1b78293cad00bec043945e0f3e629,30,175,30,1.0,5.833333333333333,7.73,39,1,0.829,1.0,0.3,0.412,0.392,0.282,62,13.03,808,70.3,1
2845b5edd3c2b977894675d6c83996f92f5ac3cc4f0a61a494a34e8d8a99b774,30,82,30,1.0,2.7333333333333334,2.0,9,1,0.634,1.0,0.367,0.67,0.425,0.26,70,4.24,297,62.16,2
29a2de3c53a0710f4668b8f6124dba329a0a717b691cc03156a76febf4f5bacf,30,60,30,1.0,2.0,2.35,14,1,0.5,1.0,0.467,0.652,0.395,0.143,63,4.14,261,80.75,2
2a50ac545f30b02200c4f18f694ce7e0ce691e9f509c38d8beebf3b4dd046b53,28,199,27,0.964,7.107142857142857,8.1,41,1,0.859,0.964,0.179,0.434,0.364,0.216,42,14.6,613,79.5,1
2a8a36c089cd1496e33ac575235d75b159f8c3ee9aa282c2d6f360aa08cb6dd0,30,115,30,1.0,3.8333333333333335,3.91,18,1,0.739,1.0,0.267,0.383,0.449,0.477,65,9.51,618,76.57,1
2a9dda5adde456cb4c1ec3735fde1d4591c3b0780ef3d82b8c7fed613382e82f,30,277,30,1.0,9.233333333333333,11.06,39,1,0.892,1.0,0.267,0.329,0.384,0.377,69,15.99,1103,77.44,3
2b0607c49f2d11be55e2e00304d8ac144a5900bb82d1b5d9b1a2405de57193d1,29,54,28,0.966,1.862068965517241,3.94,22,1,0.463,0.966,0.931,0.618,0.452,0.282,44,4.39,193,53.26,2
2b094c4248c216c84aca0e3dbdd79ba28f43b7e9912a7d2190688321f51e5a7a,30,190,29,0.967,6.333333333333333,7.73,36,1,0.842,0.967,0.133,0.338,0.409,0.491,65,16.82,1093,80.65,1
2b2ac07813fde25641019289246d80a85054b31d93cd9dd4d8f4a3e717a017e1,30,198,29,0.967,6.6,4.77,19,1,0.848,0.967,0.1,0.365,0.397,0.343,69,12.22,843,96.16,1
2b3914caff931aa5015d0eb4aaafd67d3bdfdd372af2fba048c8bacd98896fdc,20,51,20,1.0,2.55,3.76,17,1,0.608,1.0,0.7,0.596,0.451,0.284,58,3.76,218,86.5,2
2bd924c625258c3d7c9399287b1e634338d5a3d34d8b4c4793ba7b2d2568d386,30,98,29,0.967,3.2666666666666666,3.44,15,1,0.694,0.967,0.5,0.579,0.466,0.377,67,6.84,458,28.81,1
2c9fa506526e2b23545345c0a1efe9c815b2c429078b653fe4bea62113636a9b,30,165,30,1.0,5.5,6.01,22,1,0.818,1.0,0.333,0.436,0.422,0.384,64,11.09,710,43.75,1
2cb5647803ac30eb527cd977610f7ed1140e4488daddf7cdef80e3fd08b506e1,30,195,30,1.0,6.5,6.94,32,1,0.846,1.0,0.133,0.392,0.434,0.462,70,10.04,703,55.71,1
2d67f378787ef0d9249858e62cf661911d5eadf100662e2a590b8086d87b3518,30,56,30,1.0,1.8666666666666667,2.01,8,1,0.464,1.0,0.767,0.631,0.467,0.319,42,5.81,244,54.75,2
2ddee81d097f550d3cb4a5197f616502bbf5cba763db4afca0c88f9c6f6c355d,30,135,30,1.0,4.5,7.1,36,1,0.778,1.0,0.6,0.37,0.443,0.519,66,11.12,734,44.5,1
2dea2a547b0c8f5941d4565073ac4423acfe59e2139b3d4ae5144ee135fa8eff,30,61,30,1.0,2.033333333333333,2.3,10,1,0.508,1.0,0.733,0.652,0.447,0.295,68,3.4,231,30.06,2
2f002333e3ee078069a370adede771895a413b747a8039cfe1f8b6d5f579fcc5,30,257,30,1.0,8.566666666666666,9.6,39,1,0.883,1.0,0.1,0.308,0.397,0.496,67,20.25,1357,88.66,3
2fb0f5c78100f8b718dc32b6582ef9e998b041716a0629e2917ac2c01c5a44e2,25,133,19,0.76,5.32,6.26,28,1,0.812,0.76,0.24,0.37,0.403,0.406,64,10.98,703,76.53,0
2ffb606aea8bd4eef9727bf7981c9005a53d3cf6e71d9728f4b1b857bf402e9a,30,77,28,0.933,2.566666666666667,1.55,6,1,0.61,0.933,0.367,0.493,0.483,0.478,65,4.65,302,57.56,1
30aae560ce0a3972dc3f50351720e01b23781624046c4cc447523790793cdccd,30,266,30,1.0,8.866666666666667,11.25,48,1,0.887,1.0,0.3,0.362,0.43,0.533,63,15.57,981,56.57,3
30c3cfd79bdbd5af40c1c98fdb35f86d4063932bb980ab41105faeb500bb7a59,30,145,30,1.0,4.833333333333333,7.03,25,1,0.793,1.0,0.567,0.482,0.459,0.335,65,7.46,485,33.0,1
3139ea2a50e3a141080518e586ca669193eae16c2639b9e1b17b3fe42e21cfae,30,91,29,0.967,3.033333333333333,3.82,19,1,0.67,0.967,0.433,0.508,0.464,0.421,67,5.99,401,65.71,1
314e5c52ec835e5c1b1832b3e1a51d45713ba0307bd9ca8fb86cb95e7ddcafe0,30,62,30,1.0,2.066666666666667,1.08,4,1,0.516,1.0,0.4,0.701,0.387,0.1,68,3.41,232,97.0,2
31b11d75b4a9a6d590424f3421ca62cccd2f2cd81855c0851712ce03213627ac,30,112,29,0.967,3.733333333333333,3.84,14,1,0.732,0.967,0.367,0.508,0.428,0.293,65,6.66,433,79.26,1
31b69aaaba9a335ba0261babc8396d24d0af8f580d5f6192e6040ad649c78593,30,189,30,1.0,6.3,5.11,18,1,0.841,1.0,0.1,0.408,0.395,0.303,65,10.43,678,65.78,1
321ceeadc24ba2a88fba401927295f3c972429fcf3873d45a5cd9134279987cb,30,190,30,1.0,6.333333333333333,6.73,25,1,0.842,1.0,0.267,0.386,0.412,0.441,65,17.32,1126,85.03,1
322817f4854f2f71b85db9d2e7c04e4a44c91ea866c689f277a658abc7d22b12,30,150,16,0.533,5.0,5.45,25,1,0.8,0.533,0.233,0.375,0.396,0.419,66,9.11,601,35.44,0
33679030a680f82f27c52195f2df9309d0d846d440cc31ac591a01297bb9b6b1,27,204,19,0.704,7.555555555555555,8.06,37,1,0.868,0.704,0.222,0.26,0.383,0.628,65,17.65,1147,35.98,0
33d11b837cec96010145671e6661210fd68f3004627f8929038256ca7a8d8ebf,30,140,30,1.0,4.666666666666667,4.74,20,1,0.786,1.0,0.167,0.481,0.417,0.322,69,7.25,500,84.65,1
345dad5114b3cd453211fb2463b2677b927fb8bed5528f041e0451dfd0f2dca2,30,432,30,1.0,14.4,21.39,97,1,0.931,1.0,0.1,0.285,0.355,0.426,65,32.32,2101,64.44,3
349cf265b30475874348c4e1b4520dc39d2668fe73f446cde11ed834aef06f6d,30,100,30,1.0,3.333333333333333,2.93,13,1,0.7,1.0,0.3,0.469,0.467,0.465,62,6.39,396,69.17,1
350b154fe2ab6eab25424af7cf5dd0a2a324a7853b9b56c9792a7278eb102323,30,236,30,1.0,7.866666666666666,7.29,36,1,0.873,1.0,0.133,0.384,0.428,0.435,64,16.05,1027,44.25,1
351cff49ce968bd6bb542470c3004131a5042932b5f2cb0e7ea8492770b77485,30,173,30,1.0,5.766666666666667,7.76,41,1,0.827,1.0,0.3,0.363,0.443,0.547,65,22.15,1440,48.0,1
3551a84cfdcf198093e6688149f7456eaa54bad8b74b878e984b0a7bf0859533,20,92,20,1.0,4.6,3.86,15,1,0.783,1.0,0.1,0.506,0.419,0.292,18,13.11,236,64.53,2
3568b95554d7b990289169b9eec3ab615228f845fcdf9cbd71bbb4994cd93a7e,30,124,30,1.0,4.133333333333334,4.27,18,1,0.758,1.0,0.4,0.484,0.418,0.313,65,7.58,493,83.23,1
35dc3b84aaff8203e801d6da20df9f8e2677abd0d623f5e4f5eecfe0f42d43fc,29,260,28,0.966,8.96551724137931,9.94,34,1,0.888,0.966,0.103,0.335,0.372,0.411,66,17.73,1170,59.55,3
39c6aa59ad63e9299ccc79651cdfdb45b84559308e246d42dd9c0afe04931d3b,30,166,29,0.967,5.533333333333333,6.48,28,1,0.819,0.967,0.233,0.335,0.416,0.522,66,12.44,821,44.26,1
3a1e59019ccaa8bc0f560a4042b1415d5fb7b0436c1f665d309b3f6cefea7d83,30,93,29,0.967,3.1,2.73,13,1,0.677,0.967,0.367,0.505,0.484,0.418,66,6.39,422,46.5,1
3a6fe01402333cdf3412fc08782a0ac13adeddf1953ee1df98fb770a0c2ca9ca,30,93,30,1.0,3.1,6.99,39,1,0.677,1.0,0.633,0.49,0.485,0.434,67,5.28,354,44.15,1
3c6c8b8647f1b51ec51557e9916c655923e73b1b0b8de099f40db81460e78611,30,312,30,1.0,10.4,11.86,57,1,0.904,1.0,0.233,0.371,0.395,0.422,70,18.64,1305,63.55,3
3cb67a933d12398e70b2725fb801a8834eecdf236a06ce510c4b0fc9332ed37e,30,190,27,0.9,6.333333333333333,6.39,25,1,0.842,0.9,0.267,0.298,0.385,0.454,64,13.91,890,73.88,1
3d3ce5a7f0af95c6a2b8bb6e20cd9f348a8fc9ebf70c178f44f77d7fd97f3988,30,161,19,0.633,5.366666666666666,5.67,23,1,0.814,0.633,0.3,0.341,0.378,0.373,68,9.82,668,77.66,0
3d85bc081b5cbae4e23792cd67c1c0fd9af811e86418a20d777c3fbe812ba910,30,293,30,1.0,9.766666666666667,14.05,70,1,0.898,1.0,0.167,0.347,0.386,0.43,65,18.22,1184,50.06,3
3dd595f1c364df95de6a2779dbdf8cb0c660db26823bfffc83262cab4f0bf48d,30,240,30,1.0,8.0,9.01,30,1,0.875,1.0,0.233,0.435,0.444,0.417,65,12.31,800,52.5,1
3dfcfacbb1498f304ff7e39552626c8b5578a4d4ec265756b2b5db6b7083fcfd,30,164,30,1.0,5.466666666666667,6.7,29,1,0.817,1.0,0.333,0.367,0.445,0.485,61,10.1,616,53.25,1
3e202088a0f6c909bd3cfe90eb3217d09828f13c78f9198e7ca8e9fd7c2346a1,20,144,20,1.0,7.2,6.59,23,1,0.861,1.0,0.1,0.308,0.371,0.484,68,19.01,1293,52.5,3
3e5bc8253fdf89efe4e527be1f12228e3c08f488ddcb89fca66342206d94c21d,30,117,30,1.0,3.9,5.02,24,1,0.744,1.0,0.467,0.451,0.453,0.461,69,9.09,627,55.19,1
3e88c0584a41035de2c85904f13d7e5f03eab562308106eb2d9c7d8d1d5f65fb,30,62,27,0.9,2.066666666666667,2.45,11,1,0.516,0.9,0.667,0.58,0.482,0.382,65,3.78,246,19.0,2
4082ac64b81101cbebcabd3b8b597bf7966896898674d507e118e3c0367ac800,30,176,28,0.933,5.866666666666666,6.59,25,1,0.83,0.933,0.333,0.344,0.441,0.556,63,11.35,715,41.55,1
4084d3cef1c2290e1892fc32ffc6a6aa14c4d3fcc067a67710b66e7ef3acef0d,30,173,18,0.6,5.766666666666667,5.19,18,1,0.827,0.6,0.167,0.33,0.388,0.428,64,12.2,781,92.25,0
40c1d250c97702986524dae1c4014dbac4abddab4fbfd395737f4e2fe64a247d,30,152,30,1.0,5.066666666666666,4.46,21,1,0.803,1.0,0.1,0.35,0.407,0.385,65,11.85,770,88.53,1
41c3080c5f248cfc29a94b2c08f3bf85bd76feca895c6424fe528a4f32f68297,27,202,22,0.815,7.481481481481482,8.35,37,1,0.866,0.815,0.222,0.35,0.413,0.5,64,18.02,1153,57.25,3
4208d3bf74a956f3eae084d69b195b09a132a8b7ca3034e20a5968cd5069ca5a,30,320,30,1.0,10.666666666666666,11.72,50,1,0.906,1.0,0.1,0.342,0.387,0.464,67,20.3,1360,91.55,3
420ae6e6934b0e972b1be3faba699f2e7a920227c7947089f4e85b73f739c6c3,30,317,29,0.967,10.566666666666666,15.52,75,1,0.905,0.967,0.267,0.377,0.392,0.427,63,19.89,1253,62.99,3
4225b96eae6636e51ed4b87746263b9e5d0e927d67326324fbf1544230fa6fb8,30,102,30,1.0,3.4,3.55,13,1,0.706,1.0,0.533,0.518,0.461,0.391,67,6.94,465,36.71,1
438f91a3a02080977006d5b4ee2c29f6e0d0b58e848dc92712f3982a1449f481,30,178,29,0.967,5.933333333333334,6.8,36,1,0.831,0.967,0.167,0.349,0.44,0.568,68,14.4,979,60.42,1
4433080be68eabdd338bda9c8c30bee3fc1f696b6212f13bcb77721e1d738c7a,30,207,30,1.0,6.9,7.06,26,1,0.855,1.0,0.1,0.359,0.396,0.432,65,18.03,1172,66.07,1
445c2ca905d33514cd3757e1141d0239349ca6678c20cd5eedab38fbe2fd36f9,30,113,30,1.0,3.7666666666666666,3.11,13,1,0.735,1.0,0.233,0.537,0.43,0.172,69,7.81,539,67.16,1
